Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,0505002966767807","0,00340268943530442","0,186954439412333",0,0,0,"17,5299138942342","0,319961382460128","-0,000296205426794656","-0,00412387234214882","0,338232731422203","0,000136264080457694","0,601188341952179",0,0,0,0,0,0,package://agv/meshes/base_link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://agv/meshes/base_link.STL,,agv^gazebo_agv-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rf_castor,"-0,00517721936015575","0,00420937017009781","0,0380494601148337",0,0,0,"0,308413228189857","0,000176863120144316","-6,36407841398768E-13","6,18013673756808E-06","0,00021986835333067","1,64411145757434E-12","0,000225039466115735",0,0,0,0,0,0,package://agv/meshes/rf_castor.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://agv/meshes/rf_castor.STL,,Copy (2) of Assem4^gazebo_agv-1,Origin_rf_castor_joint,Axis_rf_castor_joint,rf_castor_joint,continuous,"0,4437","-0,19935","0,0745",0,0,0,base_link,0,0,1,,,,,,,,,,,,
rf_wheel,"-1,11022302462516E-16","0,00436655577999198","6,66133814775094E-16",0,0,0,"0,626468760963498","0,000457310851286782","1,15974857117078E-18","2,44835121557937E-19","0,000807704367369126","-1,04383155488073E-20","0,000457310851286781",0,0,0,0,0,0,package://agv/meshes/rf_wheel.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://agv/meshes/rf_wheel.STL,,Part5-2,Origin_rf_wheel_joint,Axis_rf_wheel_joint,rf_wheel_joint,continuous,"0,057574",0,"-0,024493",0,0,0,rf_castor,0,1,0,,,,,,,,,,,,
lf_castor,"-0,00517721936966248","0,00420937017066605","0,0380494601034228",0,0,0,"0,308413228261502","0,000176863120188543","-6,34832873491282E-13","6,18013671363683E-06","0,000219868353385141","1,6494380922632E-12","0,000225039466125424",0,0,0,0,0,0,package://agv/meshes/lf_castor.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://agv/meshes/lf_castor.STL,,Copy (2) of Assem4^gazebo_agv-2,Origin_lf_castor_joint,,lf_castor_joint,continuous,"0,4437","0,19062","0,0745",0,0,0,base_link,0,0,1,,,,,,,,,,,,
lf_wheel,"-1,11022302462516E-16","0,00436655577999231","6,66133814775094E-16",0,0,0,"0,626468760963498","0,000457310851286782","3,7317515145857E-18","3,16889790741702E-19","0,000807704367369126","2,85896953074932E-22","0,000457310851286781",0,0,0,0,0,0,package://agv/meshes/lf_wheel.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://agv/meshes/lf_wheel.STL,,Part5-4,Origin_lf_wheel_joint,Axis_lf_wheel_joint,lf_wheel_joint,continuous,"0,057574",0,"-0,024493",0,0,0,lf_castor,0,1,0,,,,,,,,,,,,
rb_castor,"0,00102047268802752","-0,000157185609563959","0,0843331685785828",0,0,0,"0,308413228404139","0,000176863120342781","-6,35772674730175E-13","6,18013667473174E-06","0,000219868353548994","1,64625950950398E-12","0,000225039466135757",0,0,0,0,0,0,package://agv/meshes/rb_castor.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://agv/meshes/rb_castor.STL,,Copy of Assem4^gazebo_agv-1,Origin_rb_castor_joint,Axis_rb_castor_joint,rb_castor_joint,continuous,"-0,35505","-0,19499","0,028216",0,0,0,base_link,0,0,1,,,,,,,,,,,,
rb_wheel,"5,55111512312578E-17","-3,60822483003176E-16","6,86950496486816E-16",0,0,0,"0,626468760963497","0,000457310851286781","2,59697111503507E-18","-7,58653868681682E-20","0,000807704367369125","1,22078299594063E-18","0,00045731085128678",0,0,0,0,0,0,package://agv/meshes/rb_wheel.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://agv/meshes/rb_wheel.STL,,Part5-1,Origin_rb_wheel_joint,Axis_rb_wheel_joint,rb_wheel_joint,continuous,"0,063772",0,"0,02179",0,0,0,rb_castor,0,1,0,,,,,,,,,,,,
lb_castor,"-0,00517721936966276","0,00420937017066594","0,0380494601034228",0,0,0,"0,308413228261502","0,000176863120188544","-6,34833059557406E-13","6,18013671363662E-06","0,000219868353385142","1,64943821697838E-12","0,000225039466125424",0,0,0,0,0,0,package://agv/meshes/lb_castor.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://agv/meshes/lb_castor.STL,,Copy of Assem4^gazebo_agv-2,Origin_lb_castor_joint,,lb_castor_joint,continuous,"-0,34885","0,19062","0,0745",0,0,0,base_link,0,0,1,,,,,,,,,,,,
lb_wheel,"4,44089209850063E-16","0,00436655577999259","-5,68989300120393E-16",0,0,0,"0,626468760963497","0,000457310851286781","4,70677235448705E-18","4,20993572758698E-19","0,000807704367369124","-2,4396369467829E-18","0,00045731085128678",0,0,0,0,0,0,package://agv/meshes/lb_wheel.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://agv/meshes/lb_wheel.STL,,Part5-3,Origin_lb_wheel_joint,Axis_lb_wheel_joint,lb_wheel_joint,continuous,"0,057574",0,"-0,024493",0,0,0,lb_castor,0,1,0,,,,,,,,,,,,
right_drive_wheel,"-3,54048652770273E-06","-0,031496291820899","-3,5696755096154E-06",0,0,0,"2,78395683195572","0,00913856636219792","1,805615946359E-07","-1,4776702564025E-07","0,0171771783201694","1,98685876624374E-07","0,00913995386509266",0,0,0,0,0,0,package://agv/meshes/right_drive_wheel.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://agv/meshes/right_drive_wheel.STL,,tekerlek_200mm_converted-6,Origin_right_drive_wheel_joint,Axis_right_drive_wheel_joint,right_drive_wheel_joint,continuous,0,"-0,25399","0,1",0,0,0,base_link,0,1,0,,,,,,,,,,,,
